month,tprev,tavg,prcp,wspd,pres,pprev,pdiff
2023-01-01 00:00:00,,21.1,0,3.2,1016.5,,
2023-01-02 00:00:00,21.1,21.4,0,3.5,1016.7,1016.5,
2023-01-03 00:00:00,21.4,21.7,0,3.2,1016.2,1016.7,
2023-01-04 00:00:00,21.7,21.4,0,3.5,1015.1,1016.2,
2023-01-05 00:00:00,21.4,21.5,0,4.3,1016.1,1015.1,
2023-01-06 00:00:00,21.5,21.8,0,6.9,1017.6,1016.1,
2023-01-07 00:00:00,21.8,21.6,0,6.3,1017.6,1017.6,
2023-01-08 00:00:00,21.6,20.2,0,5,1016.6,1017.6,
2023-01-09 00:00:00,20.2,19,0,4.7,1017.9,1016.6,
2023-01-10 00:00:00,19,18.8,0,5.6,1017.3,1017.9,
2023-01-11 00:00:00,18.8,20,0,5.6,1015,1017.3,
2023-01-12 00:00:00,20,19.9,0,5.1,1013.5,1015,
2023-01-13 00:00:00,19.9,19,0,6.4,1014.2,1013.5,
2023-01-14 00:00:00,19,18.9,0,5.4,1014,1014.2,
2023-01-15 00:00:00,18.9,20.1,0,6.9,1012.6,1014,
2023-01-16 00:00:00,20.1,20.1,0,6.3,1012.6,1012.6,
2023-01-17 00:00:00,20.1,20.4,0,4.8,1013.3,1012.6,
2023-01-18 00:00:00,20.4,21,0,4.9,1014.5,1013.3,
2023-01-19 00:00:00,21,21.5,0,5.7,1014.6,1014.5,
2023-01-20 00:00:00,21.5,21.4,0,5.8,1014.2,1014.6,
2023-01-21 00:00:00,21.4,21.1,0,4.9,1014.1,1014.2,
2023-01-22 00:00:00,21.1,20.7,0,5.7,1013.3,1014.1,
2023-01-23 00:00:00,20.7,20.5,0,6.7,1012.6,1013.3,
2023-01-24 00:00:00,20.5,20.7,0,7.6,1012.5,1012.6,
2023-01-25 00:00:00,20.7,20.9,0.2,5.6,1012.5,1012.5,
2023-01-26 00:00:00,20.9,22.5,0.8,5.6,1012.7,1012.5,
2023-01-27 00:00:00,22.5,22.8,0,7.4,1012.9,1012.7,
2023-01-28 00:00:00,22.8,21.6,0,7.7,1012.1,1012.9,
2023-01-29 00:00:00,21.6,21.3,0,8.3,1011,1012.1,
2023-01-30 00:00:00,21.3,22.1,0,5.1,1013.3,1011,
2023-01-31 00:00:00,22.1,21.9,0,7.1,1013.8,1013.3,
2023-02-01 00:00:00,21.9,21.8,0,8.6,1014.1,1013.8,
2023-02-02 00:00:00,21.8,21.7,0,7.5,1014.1,1014.1,
2023-02-03 00:00:00,21.7,21.4,0,6.9,1014.7,1014.1,
2023-02-04 00:00:00,21.4,21.9,0,5.4,1013.2,1014.7,
2023-02-05 00:00:00,21.9,22.5,0,5.8,1012.3,1013.2,
2023-02-06 00:00:00,22.5,22.8,0,6.5,1012.3,1012.3,
2023-02-07 00:00:00,22.8,22.6,0,5.5,1012.1,1012.3,
2023-02-08 00:00:00,22.6,23,0,6,1012.8,1012.1,
2023-02-09 00:00:00,23,23.6,0,5.9,1013.2,1012.8,
2023-02-10 00:00:00,23.6,24.6,0,5.8,1014.1,1013.2,
2023-02-11 00:00:00,24.6,24.6,0,6.4,1014.6,1014.1,
2023-02-12 00:00:00,24.6,23.8,0,6.9,1015.3,1014.6,
2023-02-13 00:00:00,23.8,22.4,0,8,1016,1015.3,
2023-02-14 00:00:00,22.4,22,0,7,1015.5,1016,
2023-02-15 00:00:00,22,23,0,7.4,1013.8,1015.5,
2023-02-16 00:00:00,23,23.4,0,9,1014.1,1013.8,
2023-02-17 00:00:00,23.4,23.8,0,8.5,1014.3,1014.1,
2023-02-18 00:00:00,23.8,23.7,0,8.2,1014.1,1014.3,
2023-02-19 00:00:00,23.7,23.1,0,7.8,1014,1014.1,
2023-02-20 00:00:00,23.1,24.6,0,6.8,1013.6,1014,
2023-02-21 00:00:00,24.6,25,0,5.4,1013.7,1013.6,
2023-02-22 00:00:00,25,25,0,6,1013.2,1013.7,
2023-02-23 00:00:00,25,24.9,0,6.9,1013,1013.2,
2023-02-24 00:00:00,24.9,25.1,0,6.9,1013.9,1013,
2023-02-25 00:00:00,25.1,25.4,0,6.6,1015.5,1013.9,
2023-02-26 00:00:00,25.4,25.1,0,6.9,1016.1,1015.5,
2023-02-27 00:00:00,25.1,25.5,0,7.6,1015.7,1016.1,
2023-02-28 00:00:00,25.5,25.3,0,6.9,1015.4,1015.7,
2023-03-01 00:00:00,25.3,24.9,0,6.5,1016,1015.4,
2023-03-02 00:00:00,24.9,25.3,0,7.6,1016.5,1016,
2023-03-03 00:00:00,25.3,26.4,0,8.4,1016.9,1016.5,
2023-03-04 00:00:00,26.4,26.6,0,6.5,1016.4,1016.9,
2023-03-05 00:00:00,26.6,26.5,0.4,6.8,1016.1,1016.4,
2023-03-06 00:00:00,26.5,24.8,1.7,8.4,1015.6,1016.1,
2023-03-07 00:00:00,24.8,22.1,4.9,8.2,1016.6,1015.6,
2023-03-08 00:00:00,22.1,23.8,0,6.1,1015.3,1016.6,
2023-03-09 00:00:00,23.8,25.3,0,7.3,1014.3,1015.3,
2023-03-10 00:00:00,25.3,25.3,0,6.6,1013.4,1014.3,
2023-03-11 00:00:00,25.3,25.7,0,8,1013.3,1013.4,
2023-03-12 00:00:00,25.7,26.4,0,7.8,1012.7,1013.3,
2023-03-13 00:00:00,26.4,26.6,0,7.3,1011.7,1012.7,
2023-03-14 00:00:00,26.6,26.5,0,7.8,1010.2,1011.7,
2023-03-15 00:00:00,26.5,26.1,0,7.8,1009.3,1010.2,
2023-03-16 00:00:00,26.1,23.2,1.4,7.3,1011.4,1009.3,
2023-03-17 00:00:00,23.2,23.1,0.1,5.3,1011.4,1011.4,
2023-03-18 00:00:00,23.1,23.6,0,6.4,1010.1,1011.4,
2023-03-19 00:00:00,23.6,23.8,0,8.7,1009.7,1010.1,
2023-03-20 00:00:00,23.8,22.8,0,8.8,1009.4,1009.7,
