month,tprev,tavg,tempmax,tempmin,prcp,wspd,pres,pprev,pdiff,cloudcvr
01-01-2023 00:00,,21.1,31.3,13.9,0,3.2,1016.5,,,16.1
02-01-2023 00:00,21.1,21.4,30.3,12.1,0,3.5,1016.7,1016.5,,0
03-01-2023 00:00,21.4,21.7,29.6,13.1,0,3.2,1016.2,1016.7,,16.9
04-01-2023 00:00,21.7,21.4,28.3,15.2,0,3.5,1015.1,1016.2,,37.9
05-01-2023 00:00,21.4,21.5,28.3,16.4,0,4.3,1016.1,1015.1,,44
06-01-2023 00:00,21.5,21.8,27.1,16.9,0,6.9,1017.6,1016.1,,32.4
07-01-2023 00:00,21.8,21.6,26.1,17.4,0,6.3,1017.6,1017.6,,30.9
08-01-2023 00:00,21.6,20.2,27.1,14.7,0,5,1016.6,1017.6,,5.7
09-01-2023 00:00,20.2,19,27.7,10.2,0,4.7,1017.9,1016.6,,0
10-01-2023 00:00,19,18.8,28.3,8.7,0,5.6,1017.3,1017.9,,0
11-01-2023 00:00,18.8,20,30.8,9.4,0,5.6,1015,1017.3,,0
12-01-2023 00:00,20,19.9,30.1,9.4,0,5.1,1013.5,1015,,0
13-01-2023 00:00,19.9,19,30,10.7,0,6.4,1014.2,1013.5,,2.5
14-01-2023 00:00,19,18.9,28.3,10.9,0,5.4,1014,1014.2,,12.2
15-01-2023 00:00,18.9,20.1,29.3,11.5,0,6.9,1012.6,1014,,20.8
16-01-2023 00:00,20.1,20.1,31.6,12.1,0,6.3,1012.6,1012.6,,0
17-01-2023 00:00,20.1,20.4,32,12.4,0,4.8,1013.3,1012.6,,0
18-01-2023 00:00,20.4,21,30.3,11.4,0,4.9,1014.5,1013.3,,0
19-01-2023 00:00,21,21.5,31,11.7,0,5.7,1014.6,1014.5,,0
20-01-2023 00:00,21.5,21.4,30.6,13.1,0,5.8,1014.2,1014.6,,0
21-01-2023 00:00,21.4,21.1,29.1,13.9,0,4.9,1014.1,1014.2,,4.1
22-01-2023 00:00,21.1,20.7,30,12.7,0,5.7,1013.3,1014.1,,0.9
23-01-2023 00:00,20.7,20.5,30.3,12.9,0,6.7,1012.6,1013.3,,0.3
24-01-2023 00:00,20.5,20.7,30.3,13.9,0,7.6,1012.5,1012.6,,3.4
25-01-2023 00:00,20.7,20.9,30,14.9,0.2,5.6,1012.5,1012.5,,22
26-01-2023 00:00,20.9,22.5,30.6,16.3,0.8,5.6,1012.7,1012.5,,33
27-01-2023 00:00,22.5,22.8,30.6,16.7,0,7.4,1012.9,1012.7,,29.8
28-01-2023 00:00,22.8,21.6,30.3,12.7,0,7.7,1012.1,1012.9,,1.5
29-01-2023 00:00,21.6,21.3,31,13.1,0,8.3,1011,1012.1,,19.8
30-01-2023 00:00,21.3,22.1,29.3,16.1,0,5.1,1013.3,1011,,55.9
31-01-2023 00:00,22.1,21.9,29.3,15.4,0,7.1,1013.8,1013.3,,30.7
